year,month,day,dow,don,color,wnum,tmp1,tmp2,tmp3
2020,7,3,Fri,,,1,7月3日,Fri,1
2020,7,4,Sat,,FFD9C1,1,7月4日,Sat,1
2020,7,5,Sun,,FFB6C1,2,7月5日,Sun,2
2020,7,6,Mon,,,2,7月6日,Mon,2
2020,7,7,Tue,,,2,7月7日,Tue,2
2020,7,8,Wed,,,2,7月8日,Wed,2
2020,7,9,Thu,,,2,7月9日,Thu,2
2020,7,10,Fri,,,2,7月10日,Fri,2
2020,7,11,Sat,,FFD9C1,2,7月11日,Sat,2
2020,7,12,Sun,,FFB6C1,3,7月12日,Sun,3
2020,7,13,Mon,,,3,7月13日,Mon,3
2020,7,14,Tue,,,3,7月14日,Tue,3
2020,7,15,Wed,,,3,7月15日,Wed,3
2020,7,16,Thu,,,3,7月16日,Thu,3
2020,7,17,Fri,,,3,7月17日,Fri,3
2020,7,18,Sat,,FFD9C1,3,7月18日,Sat,3
2020,7,19,Sun,,FFB6C1,4,7月19日,Sun,4
2020,7,20,Mon,,,4,7月20日,Mon,4
2020,7,21,Tue,,,4,7月21日,Tue,4
2020,7,22,Wed,,,4,7月22日,Wed,4
2020,7,23,Thu,Marine Day,FFB6C1,4,7月23日,Thu,4
2020,7,24,Fri,Sports Day,FFB6C1,4,7月24日,Fri,4
2020,7,25,Sat,,FFD9C1,4,7月25日,Sat,4
2020,7,26,Sun,,FFB6C1,5,7月26日,Sun,5
2020,7,27,Mon,,,5,7月27日,Mon,5
2020,7,28,Tue,,,5,7月28日,Tue,5
2020,7,29,Wed,,,5,7月29日,Wed,5
2020,7,30,Thu,,,5,7月30日,Thu,5
2020,7,31,Fri,,,5,7月31日,Fri,5
2020,8,1,Sat,,FFD9C1,1,8月1日,Sat,1
2020,8,2,Sun,,FFB6C1,2,8月2日,Sun,2
2020,8,3,Mon,,,2,8月3日,Mon,2
2020,8,4,Tue,,,2,8月4日,Tue,2
2020,8,5,Wed,,,2,8月5日,Wed,2
2020,8,6,Thu,,,2,8月6日,Thu,2
2020,8,7,Fri,,,2,8月7日,Fri,2
2020,8,8,Sat,,FFD9C1,2,8月8日,Sat,2
2020,8,9,Sun,,FFB6C1,3,8月9日,Sun,3
2020,8,10,Mon,Mountain Day,FFB6C1,3,8月10日,Mon,3
2020,8,11,Tue,,,3,8月11日,Tue,3
2020,8,12,Wed,,,3,8月12日,Wed,3
2020,8,13,Thu,,,3,8月13日,Thu,3
2020,8,14,Fri,,,3,8月14日,Fri,3
2020,8,15,Sat,,FFD9C1,3,8月15日,Sat,3
